date,search_interest,isPartial
2023-05-28,26,False
2023-06-04,29,False
2023-06-11,27,False
2023-06-18,32,False
2023-06-25,32,False
2023-07-02,30,False
2023-07-09,31,False
2023-07-16,28,False
2023-07-23,28,False
2023-07-30,26,False
2023-08-06,26,False
2023-08-13,30,False
2023-08-20,29,False
2023-08-27,28,False
2023-09-03,25,False
2023-09-10,25,False
2023-09-17,24,False
2023-09-24,24,False
2023-10-01,25,False
2023-10-08,24,False
2023-10-15,26,False
2023-10-22,40,False
2023-10-29,32,False
2023-11-05,35,False
2023-11-12,33,False
2023-11-19,31,False
2023-11-26,29,False
2023-12-03,47,False
2023-12-10,38,False
2023-12-17,35,False
2023-12-24,35,False
2023-12-31,46,False
2024-01-07,64,False
2024-01-14,38,False
2024-01-21,35,False
2024-01-28,32,False
2024-02-04,30,False
2024-02-11,46,False
2024-02-18,35,False
2024-02-25,65,False
2024-03-03,81,False
2024-03-10,72,False
2024-03-17,58,False
2024-03-24,51,False
2024-03-31,47,False
2024-04-07,49,False
2024-04-14,65,False
2024-04-21,40,False
2024-04-28,41,False
2024-05-05,33,False
2024-05-12,31,False
2024-05-19,35,False
2024-05-26,28,False
2024-06-02,32,False
2024-06-09,30,False
2024-06-16,29,False
2024-06-23,29,False
2024-06-30,33,False
2024-07-07,33,False
2024-07-14,35,False
2024-07-21,37,False
2024-07-28,32,False
2024-08-04,48,False
2024-08-11,33,False
2024-08-18,32,False
2024-08-25,29,False
2024-09-01,29,False
2024-09-08,27,False
2024-09-15,29,False
2024-09-22,29,False
2024-09-29,26,False
2024-10-06,27,False
2024-10-13,27,False
2024-10-20,26,False
2024-10-27,35,False
2024-11-03,53,False
2024-11-10,100,False
2024-11-17,83,False
2024-11-24,69,False
2024-12-01,73,False
2024-12-08,63,False
